case_id,activity,lifecycle,resource,ts
173688,A_SUBMITTED,COMPLETE,112,2011-10-01 01:38:44.546000+03:00
173688,A_PARTLYSUBMITTED,COMPLETE,112,2011-10-01 01:38:44.880000+03:00
173688,A_PREACCEPTED,COMPLETE,112,2011-10-01 01:39:37.906000+03:00
173688,W_Completeren aanvraag,SCHEDULE,112,2011-10-01 01:39:38.875000+03:00
173688,W_Completeren aanvraag,START,,2011-10-01 12:36:46.437000+03:00
173688,A_ACCEPTED,COMPLETE,10862,2011-10-01 12:42:43.308000+03:00
173688,O_SELECTED,COMPLETE,10862,2011-10-01 12:45:09.243000+03:00
173688,A_FINALIZED,COMPLETE,10862,2011-10-01 12:45:09.243000+03:00
173688,O_CREATED,COMPLETE,10862,2011-10-01 12:45:11.197000+03:00
173688,O_SENT,COMPLETE,10862,2011-10-01 12:45:11.380000+03:00
173688,W_Nabellen offertes,SCHEDULE,,2011-10-01 12:45:11.554000+03:00
173688,W_Completeren aanvraag,COMPLETE,,2011-10-01 12:45:13.917000+03:00
173688,W_Nabellen offertes,START,,2011-10-01 13:15:41.290000+03:00
173688,W_Nabellen offertes,COMPLETE,,2011-10-01 13:17:08.924000+03:00
173688,W_Nabellen offertes,START,10913,2011-10-08 17:26:57.720000+03:00
173688,W_Nabellen offertes,COMPLETE,10913,2011-10-08 17:32:00.886000+03:00
173688,W_Nabellen offertes,START,11049,2011-10-10 12:32:22.495000+03:00
173688,O_SENT_BACK,COMPLETE,11049,2011-10-10 12:33:03.668000+03:00
173688,W_Valideren aanvraag,SCHEDULE,11049,2011-10-10 12:33:04.560000+03:00
173688,W_Nabellen offertes,COMPLETE,11049,2011-10-10 12:33:05.791000+03:00
173688,W_Valideren aanvraag,START,10629,2011-10-13 11:05:26.925000+03:00
173688,A_REGISTERED,COMPLETE,10629,2011-10-13 11:37:29.226000+03:00
173688,A_APPROVED,COMPLETE,10629,2011-10-13 11:37:29.226000+03:00
173688,O_ACCEPTED,COMPLETE,10629,2011-10-13 11:37:29.226000+03:00
173688,A_ACTIVATED,COMPLETE,10629,2011-10-13 11:37:29.226000+03:00
