case_id,concept:name,REG_DATE,AMOUNT_REQ
90,90,,
173688,173688,2011-10-01T01:38:44.546+03:00,20000
173691,173691,2011-10-01T09:08:58.256+03:00,5000
173694,173694,2011-10-01T09:10:30.287+03:00,7000
173697,173697,2011-10-01T09:11:08.865+03:00,15000
173703,173703,2011-10-01T10:45:25.806+03:00,13500
173706,173706,2011-10-01T10:45:37.274+03:00,18000
173709,173709,2011-10-01T10:57:42.994+03:00,11000
173712,173712,2011-10-01T10:58:30.533+03:00,30000
173715,173715,2011-10-01T10:59:10.501+03:00,45000
173718,173718,2011-10-01T11:37:39.362+03:00,15000
173721,173721,2011-10-01T12:07:34.279+03:00,9000
173724,173724,2011-10-01T12:52:14.305+03:00,15000
173730,173730,2011-10-01T13:36:08.943+03:00,15000
173733,173733,2011-10-01T13:39:34.037+03:00,6000
173736,173736,2011-10-01T14:01:58.813+03:00,15000
173739,173739,2011-10-01T14:12:58.663+03:00,10000
173742,173742,2011-10-01T14:44:12.626+03:00,6000
173745,173745,2011-10-01T15:08:16.293+03:00,2000
212286,212286,2012-02-23T20:54:28.151+02:00,10000
173751,173751,2011-10-01T15:14:39.442+03:00,10000
173754,173754,2011-10-01T15:50:09.763+03:00,20000
173760,173760,2011-10-01T16:15:17.454+03:00,32000
173766,173766,2011-10-01T17:12:02.338+03:00,2000
173775,173775,2011-10-01T17:59:00.006+03:00,10000
173781,173781,2011-10-01T19:10:34.289+03:00,1500
189376,189376,2011-11-27T19:43:37.075+02:00,50000
179134,179134,2011-10-22T20:29:54.097+03:00,18000
173790,173790,2011-10-01T20:14:15.425+03:00,5000
173793,173793,2011-10-01T20:32:46.330+03:00,6000
173796,173796,2011-10-01T21:19:11.828+03:00,15000
173799,173799,2011-10-01T21:27:34.477+03:00,10000
173805,173805,2011-10-01T22:07:54.696+03:00,5000
173811,173811,2011-10-01T23:59:29.233+03:00,50000
173814,173814,2011-10-02T00:01:43.529+03:00,14542
173817,173817,2011-10-02T01:57:28.742+03:00,7000
173823,173823,2011-10-02T10:23:29.387+03:00,15000
173826,173826,2011-10-02T10:39:10.811+03:00,13000
